Webpage,Coreconfig,Govconfig,Core,Counter,Value
bbc,AllSmall,ii,7,0x17,144949898.0
cnn,AllSmall,ii,0,0x08,514203912.0
cnn,AllSmall,ii,0,0x19,2929780417.0
cnn,AllSmall,ii,0,0x1d,4001504330.0
cnn,AllSmall,ii,0,0x17,1323948334.0
cnn,AllSmall,ii,1,0x08,3495794272.0
cnn,AllSmall,ii,1,0x19,3263667184.0
cnn,AllSmall,ii,1,0x1d,3141016549.0
cnn,AllSmall,ii,1,0x17,1399309001.0
cnn,AllSmall,ii,2,0x08,972054622.0
cnn,AllSmall,ii,2,0x19,3016903942.0
cnn,AllSmall,ii,2,0x1d,2540264638.0
cnn,AllSmall,ii,2,0x17,1346818922.0
cnn,AllSmall,ii,3,0x08,1749269400.0
cnn,AllSmall,ii,3,0x19,3116379866.0
cnn,AllSmall,ii,3,0x1d,4042109447.0
cnn,AllSmall,ii,3,0x17,1364748909.0
cnn,AllSmall,ii,4,0x08,3715935844.0
cnn,AllSmall,ii,4,0x19,904957596.0
cnn,AllSmall,ii,4,0x1d,2682891860.0
cnn,AllSmall,ii,4,0x17,137024556.0
cnn,AllSmall,ii,5,0x08,2465155894.0
cnn,AllSmall,ii,5,0x19,1745923453.0
cnn,AllSmall,ii,5,0x1d,-809702.0
cnn,AllSmall,ii,5,0x17,280510417.0
cnn,AllSmall,ii,6,0x08,1043020536.0
cnn,AllSmall,ii,6,0x19,2016576029.0
cnn,AllSmall,ii,6,0x1d,1212700631.0
cnn,AllSmall,ii,6,0x17,316328104.0
cnn,AllSmall,ii,7,0x08,761756383.0
cnn,AllSmall,ii,7,0x19,1114809430.0
cnn,AllSmall,ii,7,0x1d,3542795138.0
cnn,AllSmall,ii,7,0x17,150786251.0
craigslist,AllSmall,ii,0,0x08,2232500203.0
craigslist,AllSmall,ii,0,0x19,2571266639.0
craigslist,AllSmall,ii,0,0x1d,3915160534.0
craigslist,AllSmall,ii,0,0x17,426665699.0
craigslist,AllSmall,ii,1,0x08,1052029247.0
craigslist,AllSmall,ii,1,0x19,2615805127.0
craigslist,AllSmall,ii,1,0x1d,1752926679.0
craigslist,AllSmall,ii,1,0x17,438666825.0
craigslist,AllSmall,ii,2,0x08,420387717.0
craigslist,AllSmall,ii,2,0x19,2576951646.0
craigslist,AllSmall,ii,2,0x1d,1169424767.0
craigslist,AllSmall,ii,2,0x17,432380796.0
craigslist,AllSmall,ii,3,0x08,1209975123.0
craigslist,AllSmall,ii,3,0x19,2546091354.0
craigslist,AllSmall,ii,3,0x1d,1599691414.0
craigslist,AllSmall,ii,3,0x17,429928995.0
craigslist,AllSmall,ii,4,0x08,3112765134.0
craigslist,AllSmall,ii,4,0x19,702496825.0
craigslist,AllSmall,ii,4,0x1d,283613746.0
craigslist,AllSmall,ii,4,0x17,101849774.0
craigslist,AllSmall,ii,5,0x08,1224840778.0
craigslist,AllSmall,ii,5,0x19,1505085897.0
craigslist,AllSmall,ii,5,0x1d,3461955074.0
craigslist,AllSmall,ii,5,0x17,239523139.0
craigslist,AllSmall,ii,6,0x08,716936838.0
craigslist,AllSmall,ii,6,0x19,1964356619.0
craigslist,AllSmall,ii,6,0x1d,3374282609.0
craigslist,AllSmall,ii,6,0x17,302317788.0
craigslist,AllSmall,ii,7,0x08,3544794450.0
craigslist,AllSmall,ii,7,0x19,893578438.0
craigslist,AllSmall,ii,7,0x1d,536933281.0
craigslist,AllSmall,ii,7,0x17,114738052.0
ebay,AllSmall,ii,0,0x08,132555917.0
ebay,AllSmall,ii,0,0x19,1389402128.0
ebay,AllSmall,ii,0,0x1d,3704618929.0
ebay,AllSmall,ii,0,0x17,1007209676.0
ebay,AllSmall,ii,1,0x08,1253715885.0
ebay,AllSmall,ii,1,0x19,1410555600.0
ebay,AllSmall,ii,1,0x1d,3514850999.0
ebay,AllSmall,ii,1,0x17,1010877589.0
ebay,AllSmall,ii,2,0x08,3704409829.0
ebay,AllSmall,ii,2,0x19,1396371292.0
ebay,AllSmall,ii,2,0x1d,1586801078.0
ebay,AllSmall,ii,2,0x17,1001322563.0
ebay,AllSmall,ii,3,0x08,327361795.0
ebay,AllSmall,ii,3,0x19,1389667421.0
ebay,AllSmall,ii,3,0x1d,2627774141.0
ebay,AllSmall,ii,3,0x17,1001149087.0
ebay,AllSmall,ii,4,0x08,1594385507.0
ebay,AllSmall,ii,4,0x19,976260990.0
ebay,AllSmall,ii,4,0x1d,194647491.0
ebay,AllSmall,ii,4,0x17,148489868.0
ebay,AllSmall,ii,5,0x08,3478083948.0
ebay,AllSmall,ii,5,0x19,1907750718.0
ebay,AllSmall,ii,5,0x1d,1264777041.0
ebay,AllSmall,ii,5,0x17,300960060.0
ebay,AllSmall,ii,6,0x08,2726867689.0
ebay,AllSmall,ii,6,0x19,1881548254.0
ebay,AllSmall,ii,6,0x1d,3490248994.0
ebay,AllSmall,ii,6,0x17,296018352.0
ebay,AllSmall,ii,7,0x08,539632021.0
ebay,AllSmall,ii,7,0x19,1285138277.0
ebay,AllSmall,ii,7,0x1d,2296608392.0
ebay,AllSmall,ii,7,0x17,181355896.0
google,AllSmall,ii,0,0x08,1697226394.0
google,AllSmall,ii,0,0x19,1673054404.0
google,AllSmall,ii,0,0x1d,881302121.0
google,AllSmall,ii,0,0x17,291795123.0
google,AllSmall,ii,1,0x08,1366386145.0
google,AllSmall,ii,1,0x19,1653380169.0
google,AllSmall,ii,1,0x1d,372626253.0
google,AllSmall,ii,1,0x17,288923152.0
google,AllSmall,ii,2,0x08,1203808029.0
google,AllSmall,ii,2,0x19,1667921639.0
google,AllSmall,ii,2,0x1d,254776562.0
google,AllSmall,ii,2,0x17,290087320.0
google,AllSmall,ii,3,0x08,1430238117.0
google,AllSmall,ii,3,0x19,1675405546.0
google,AllSmall,ii,3,0x1d,536108895.0
google,AllSmall,ii,3,0x17,291802114.0
google,AllSmall,ii,4,0x08,2179426011.0
google,AllSmall,ii,4,0x19,352960051.0
google,AllSmall,ii,4,0x1d,616938636.0
google,AllSmall,ii,4,0x17,51706250.0
google,AllSmall,ii,5,0x08,2750577923.0
google,AllSmall,ii,5,0x19,567274369.0
google,AllSmall,ii,5,0x1d,2786362029.0
google,AllSmall,ii,5,0x17,91136229.0
google,AllSmall,ii,6,0x08,3778284781.0
google,AllSmall,ii,6,0x19,611744203.0
google,AllSmall,ii,6,0x1d,1403863194.0
google,AllSmall,ii,6,0x17,95759439.0
google,AllSmall,ii,7,0x08,3147938954.0
google,AllSmall,ii,7,0x19,465240225.0
google,AllSmall,ii,7,0x1d,1064499293.0
google,AllSmall,ii,7,0x17,64959135.0
msn,AllSmall,ii,0,0x08,3748091547.0
msn,AllSmall,ii,0,0x19,876609157.0
msn,AllSmall,ii,0,0x1d,1654037849.0
msn,AllSmall,ii,0,0x17,911222788.0
msn,AllSmall,ii,1,0x08,3699267943.0
msn,AllSmall,ii,1,0x19,898463844.0
msn,AllSmall,ii,1,0x1d,1827514549.0
msn,AllSmall,ii,1,0x17,918486885.0
msn,AllSmall,ii,2,0x08,3260619299.0
msn,AllSmall,ii,2,0x19,782658949.0
msn,AllSmall,ii,2,0x1d,2139070878.0
msn,AllSmall,ii,2,0x17,896865047.0
msn,AllSmall,ii,3,0x08,2944891598.0
msn,AllSmall,ii,3,0x19,844595941.0
msn,AllSmall,ii,3,0x1d,749882532.0
msn,AllSmall,ii,3,0x17,905724760.0
msn,AllSmall,ii,4,0x08,3446624841.0
msn,AllSmall,ii,4,0x19,1074301498.0
msn,AllSmall,ii,4,0x1d,386696977.0
msn,AllSmall,ii,4,0x17,159196074.0
msn,AllSmall,ii,5,0x08,4079709747.0
msn,AllSmall,ii,5,0x19,1945362430.0
msn,AllSmall,ii,5,0x1d,737190385.0
msn,AllSmall,ii,5,0x17,305512972.0
msn,AllSmall,ii,6,0x08,1583840610.0
msn,AllSmall,ii,6,0x19,2277996628.0
msn,AllSmall,ii,6,0x1d,1059673491.0
msn,AllSmall,ii,6,0x17,353324051.0
msn,AllSmall,ii,7,0x08,3452592967.0
msn,AllSmall,ii,7,0x19,1288946517.0
msn,AllSmall,ii,7,0x1d,2628033773.0
msn,AllSmall,ii,7,0x17,169473173.0
slashdot,AllSmall,ii,0,0x08,618650946.0
slashdot,AllSmall,ii,0,0x19,4129943821.0
slashdot,AllSmall,ii,0,0x1d,242050400.0
slashdot,AllSmall,ii,0,0x17,724474452.0
slashdot,AllSmall,ii,1,0x08,2307461356.0
slashdot,AllSmall,ii,1,0x19,4178863474.0
slashdot,AllSmall,ii,1,0x1d,1019069461.0
slashdot,AllSmall,ii,1,0x17,732792191.0
slashdot,AllSmall,ii,2,0x08,4073178504.0
slashdot,AllSmall,ii,2,0x19,4244091569.0
slashdot,AllSmall,ii,2,0x1d,2534094056.0
slashdot,AllSmall,ii,2,0x17,745332763.0
slashdot,AllSmall,ii,3,0x08,794221764.0
slashdot,AllSmall,ii,3,0x19,3740515.0
slashdot,AllSmall,ii,3,0x1d,4049204108.0
slashdot,AllSmall,ii,3,0x17,760414101.0
slashdot,AllSmall,ii,4,0x08,3966403987.0
slashdot,AllSmall,ii,4,0x19,787203733.0
slashdot,AllSmall,ii,4,0x1d,3815070845.0
slashdot,AllSmall,ii,4,0x17,112917691.0
slashdot,AllSmall,ii,5,0x08,423539114.0
slashdot,AllSmall,ii,5,0x19,1695812571.0
slashdot,AllSmall,ii,5,0x1d,4111118807.0
slashdot,AllSmall,ii,5,0x17,266203719.0
slashdot,AllSmall,ii,6,0x08,779985880.0
slashdot,AllSmall,ii,6,0x19,2280681310.0
slashdot,AllSmall,ii,6,0x1d,241459343.0
slashdot,AllSmall,ii,6,0x17,350963607.0
slashdot,AllSmall,ii,7,0x08,4281096452.0
slashdot,AllSmall,ii,7,0x19,1115004372.0
slashdot,AllSmall,ii,7,0x1d,3909972001.0
slashdot,AllSmall,ii,7,0x17,144006965.0
twitter,AllSmall,ii,0,0x08,1587407653.0
twitter,AllSmall,ii,0,0x19,4031657835.0
twitter,AllSmall,ii,0,0x1d,3497631761.0
twitter,AllSmall,ii,0,0x17,701844326.0
twitter,AllSmall,ii,1,0x08,2999696725.0
twitter,AllSmall,ii,1,0x19,4002660402.0
twitter,AllSmall,ii,1,0x1d,3876242762.0
twitter,AllSmall,ii,1,0x17,698191967.0
twitter,AllSmall,ii,2,0x08,2613124675.0
twitter,AllSmall,ii,2,0x19,4020193841.0
twitter,AllSmall,ii,2,0x1d,3369838742.0
twitter,AllSmall,ii,2,0x17,698166658.0
twitter,AllSmall,ii,3,0x08,990694349.0
twitter,AllSmall,ii,3,0x19,3973774367.0
twitter,AllSmall,ii,3,0x1d,1769352574.0
twitter,AllSmall,ii,3,0x17,686382081.0
twitter,AllSmall,ii,4,0x08,1165396673.0
twitter,AllSmall,ii,4,0x19,1164552997.0
twitter,AllSmall,ii,4,0x1d,1328277666.0
twitter,AllSmall,ii,4,0x17,167851616.0
twitter,AllSmall,ii,5,0x08,992772502.0
twitter,AllSmall,ii,5,0x19,2077630135.0
twitter,AllSmall,ii,5,0x1d,1280771235.0
twitter,AllSmall,ii,5,0x17,324956360.0
twitter,AllSmall,ii,6,0x08,3044831201.0
twitter,AllSmall,ii,6,0x19,2375410946.0
twitter,AllSmall,ii,6,0x1d,2181749075.0
twitter,AllSmall,ii,6,0x17,367949508.0
twitter,AllSmall,ii,7,0x08,2141471189.0
twitter,AllSmall,ii,7,0x19,1521297162.0
twitter,AllSmall,ii,7,0x1d,1943188732.0
twitter,AllSmall,ii,7,0x17,208512555.0
youtube,AllSmall,ii,0,0x08,2117153634.0
youtube,AllSmall,ii,0,0x19,1186822687.0
youtube,AllSmall,ii,0,0x1d,3391728496.0
youtube,AllSmall,ii,0,0x17,957663252.0
youtube,AllSmall,ii,1,0x08,367754497.0
youtube,AllSmall,ii,1,0x19,1314033346.0
youtube,AllSmall,ii,1,0x1d,1681732950.0
youtube,AllSmall,ii,1,0x17,984449441.0
youtube,AllSmall,ii,2,0x08,924591032.0
youtube,AllSmall,ii,2,0x19,1083714727.0
youtube,AllSmall,ii,2,0x1d,897291264.0
youtube,AllSmall,ii,2,0x17,936056993.0
youtube,AllSmall,ii,3,0x08,1840955509.0
youtube,AllSmall,ii,3,0x19,1161360888.0
youtube,AllSmall,ii,3,0x1d,2049737604.0
youtube,AllSmall,ii,3,0x17,948739058.0
youtube,AllSmall,ii,4,0x08,2411820029.0
youtube,AllSmall,ii,4,0x19,1484662047.0
youtube,AllSmall,ii,4,0x1d,506544891.0
youtube,AllSmall,ii,4,0x17,214000257.0
youtube,AllSmall,ii,5,0x08,281220281.0
youtube,AllSmall,ii,5,0x19,2839815290.0
youtube,AllSmall,ii,5,0x1d,336167923.0
youtube,AllSmall,ii,5,0x17,437127716.0
youtube,AllSmall,ii,6,0x08,198044331.0
youtube,AllSmall,ii,6,0x19,3115375989.0
youtube,AllSmall,ii,6,0x1d,3009351831.0
youtube,AllSmall,ii,6,0x17,480542731.0
youtube,AllSmall,ii,7,0x08,2443987605.0
youtube,AllSmall,ii,7,0x19,2082988932.0
youtube,AllSmall,ii,7,0x1d,2490741695.0
youtube,AllSmall,ii,7,0x17,283991015.0
amazon,1Big,ii,0,0x08,3884614446.0
amazon,1Big,ii,0,0x19,1631941897.0
amazon,1Big,ii,0,0x1d,3594780184.0
amazon,1Big,ii,0,0x17,257541961.0
amazon,1Big,ii,1,0x08,3608185504.0
amazon,1Big,ii,1,0x19,1628627551.0
amazon,1Big,ii,1,0x1d,2937457172.0
amazon,1Big,ii,1,0x17,256788508.0
amazon,1Big,ii,2,0x08,3799259599.0
amazon,1Big,ii,2,0x19,1634192786.0
amazon,1Big,ii,2,0x1d,3011878349.0
amazon,1Big,ii,2,0x17,257477082.0
amazon,1Big,ii,3,0x08,3833620100.0
amazon,1Big,ii,3,0x19,1623610761.0
amazon,1Big,ii,3,0x1d,3099981129.0
amazon,1Big,ii,3,0x17,256522336.0
amazon,1Big,ii,4,0x08,3086292250.0
amazon,1Big,ii,4,0x19,2165971289.0
amazon,1Big,ii,4,0x1d,4267624549.0
amazon,1Big,ii,4,0x17,441703220.0
amazon,1Big,ii,5,0x08,4110453672.0
amazon,1Big,ii,5,0x19,1123486428.0
amazon,1Big,ii,5,0x1d,2400572228.0
amazon,1Big,ii,5,0x17,188043432.0
amazon,1Big,ii,6,0x08,1309728324.0
amazon,1Big,ii,6,0x19,1178132732.0
amazon,1Big,ii,6,0x1d,1149634695.0
amazon,1Big,ii,6,0x17,194255322.0
amazon,1Big,ii,7,0x08,4243067071.0
amazon,1Big,ii,7,0x19,1001664971.0
amazon,1Big,ii,7,0x1d,730817447.0
amazon,1Big,ii,7,0x17,147613336.0
bbc,1Big,ii,0,0x08,94214556.0
bbc,1Big,ii,0,0x19,2334043654.0
bbc,1Big,ii,0,0x1d,3918117116.0
bbc,1Big,ii,0,0x17,364275789.0
bbc,1Big,ii,1,0x08,3894128106.0
bbc,1Big,ii,1,0x19,2291700891.0
bbc,1Big,ii,1,0x1d,2525347069.0
bbc,1Big,ii,1,0x17,355162207.0
bbc,1Big,ii,2,0x08,4120249929.0
bbc,1Big,ii,2,0x19,2295438490.0
bbc,1Big,ii,2,0x1d,2875578492.0
bbc,1Big,ii,2,0x17,358519818.0
bbc,1Big,ii,3,0x08,4163767751.0
bbc,1Big,ii,3,0x19,2320015306.0
bbc,1Big,ii,3,0x1d,3035214075.0
bbc,1Big,ii,3,0x17,362323078.0
bbc,1Big,ii,4,0x08,3662356261.0
bbc,1Big,ii,4,0x19,3603059380.0
bbc,1Big,ii,4,0x1d,3370940646.0
bbc,1Big,ii,4,0x17,739432581.0
bbc,1Big,ii,5,0x08,1069971477.0
bbc,1Big,ii,5,0x19,1522679666.0
bbc,1Big,ii,5,0x1d,1665828065.0
bbc,1Big,ii,5,0x17,263542577.0
bbc,1Big,ii,6,0x08,2710377549.0
bbc,1Big,ii,6,0x19,1603939096.0
bbc,1Big,ii,6,0x1d,2455329879.0
bbc,1Big,ii,6,0x17,269621586.0
bbc,1Big,ii,7,0x08,2100147936.0
bbc,1Big,ii,7,0x19,1111143218.0
bbc,1Big,ii,7,0x1d,2084525490.0
bbc,1Big,ii,7,0x17,166536491.0
cnn,1Big,ii,0,0x08,3504236418.0
cnn,1Big,ii,0,0x19,3051262333.0
cnn,1Big,ii,0,0x1d,3884086858.0
cnn,1Big,ii,0,0x17,504573551.0
cnn,1Big,ii,1,0x08,3338279692.0
cnn,1Big,ii,1,0x19,3026705556.0
cnn,1Big,ii,1,0x1d,2839628302.0
cnn,1Big,ii,1,0x17,501689507.0
cnn,1Big,ii,2,0x08,3502339223.0
cnn,1Big,ii,2,0x19,2997902462.0
cnn,1Big,ii,2,0x1d,2602001995.0
cnn,1Big,ii,2,0x17,494996342.0
cnn,1Big,ii,3,0x08,3016061512.0
cnn,1Big,ii,3,0x19,3000814993.0
cnn,1Big,ii,3,0x1d,2443137926.0
cnn,1Big,ii,3,0x17,496977983.0
cnn,1Big,ii,4,0x08,3777914285.0
cnn,1Big,ii,4,0x19,986969356.0
cnn,1Big,ii,4,0x1d,3785800208.0
cnn,1Big,ii,4,0x17,1090169195.0
cnn,1Big,ii,5,0x08,1515670327.0
cnn,1Big,ii,5,0x19,2035071475.0
cnn,1Big,ii,5,0x1d,1136398923.0
cnn,1Big,ii,5,0x17,354103215.0
cnn,1Big,ii,6,0x08,1085126507.0
cnn,1Big,ii,6,0x19,2062896321.0
cnn,1Big,ii,6,0x1d,1207809434.0
cnn,1Big,ii,6,0x17,352119837.0
cnn,1Big,ii,7,0x08,3429733747.0
cnn,1Big,ii,7,0x19,1778736269.0
cnn,1Big,ii,7,0x1d,3808213726.0
cnn,1Big,ii,7,0x17,297586503.0
craigslist,1Big,ii,0,0x08,3805638859.0
craigslist,1Big,ii,0,0x19,1480445199.0
craigslist,1Big,ii,0,0x1d,3969757032.0
craigslist,1Big,ii,0,0x17,233359443.0
craigslist,1Big,ii,1,0x08,4006602457.0
craigslist,1Big,ii,1,0x19,1503811795.0
craigslist,1Big,ii,1,0x1d,3748702933.0
craigslist,1Big,ii,1,0x17,236400094.0
craigslist,1Big,ii,2,0x08,3683150400.0
craigslist,1Big,ii,2,0x19,1491908691.0
craigslist,1Big,ii,2,0x1d,3368513761.0
craigslist,1Big,ii,2,0x17,233445046.0
craigslist,1Big,ii,3,0x08,4090813944.0
craigslist,1Big,ii,3,0x19,1545795558.0
craigslist,1Big,ii,3,0x1d,3959705731.0
craigslist,1Big,ii,3,0x17,241813291.0
craigslist,1Big,ii,4,0x08,2154613647.0
craigslist,1Big,ii,4,0x19,1703290557.0
craigslist,1Big,ii,4,0x1d,1278818730.0
craigslist,1Big,ii,4,0x17,342089610.0
craigslist,1Big,ii,5,0x08,1901078392.0
craigslist,1Big,ii,5,0x19,891792871.0
craigslist,1Big,ii,5,0x1d,946972792.0
craigslist,1Big,ii,5,0x17,145777717.0
craigslist,1Big,ii,6,0x08,592625402.0
craigslist,1Big,ii,6,0x19,960168146.0
craigslist,1Big,ii,6,0x1d,326520349.0
craigslist,1Big,ii,6,0x17,156761050.0
craigslist,1Big,ii,7,0x08,3943882803.0
craigslist,1Big,ii,7,0x19,844850936.0
craigslist,1Big,ii,7,0x1d,21364657.0
craigslist,1Big,ii,7,0x17,129005587.0
ebay,1Big,ii,0,0x08,911596614.0
ebay,1Big,ii,0,0x19,2745873274.0
ebay,1Big,ii,0,0x1d,3592811254.0
ebay,1Big,ii,0,0x17,438366707.0
ebay,1Big,ii,1,0x08,1455745236.0
ebay,1Big,ii,1,0x19,2785623524.0
ebay,1Big,ii,1,0x1d,4083730310.0
ebay,1Big,ii,1,0x17,448041704.0
ebay,1Big,ii,2,0x08,1401854785.0
ebay,1Big,ii,2,0x19,2781205874.0
ebay,1Big,ii,2,0x1d,3745734440.0
ebay,1Big,ii,2,0x17,445955909.0
ebay,1Big,ii,3,0x08,715423287.0
ebay,1Big,ii,3,0x19,2746833429.0
ebay,1Big,ii,3,0x1d,3206189458.0
ebay,1Big,ii,3,0x17,440766357.0
ebay,1Big,ii,4,0x08,836924594.0
ebay,1Big,ii,4,0x19,3604706084.0
ebay,1Big,ii,4,0x1d,4233521191.0
ebay,1Big,ii,4,0x17,765763456.0
ebay,1Big,ii,5,0x08,3604177248.0
ebay,1Big,ii,5,0x19,1181687360.0
ebay,1Big,ii,5,0x1d,1442076280.0
ebay,1Big,ii,5,0x17,220935976.0
ebay,1Big,ii,6,0x08,2932418082.0
ebay,1Big,ii,6,0x19,1175207030.0
ebay,1Big,ii,6,0x1d,863791835.0
ebay,1Big,ii,6,0x17,219359480.0
ebay,1Big,ii,7,0x08,4167193141.0
ebay,1Big,ii,7,0x19,1299883410.0
ebay,1Big,ii,7,0x1d,1954492138.0
ebay,1Big,ii,7,0x17,233047772.0
google,1Big,ii,0,0x08,4253945755.0
google,1Big,ii,0,0x19,1176806195.0
google,1Big,ii,0,0x1d,4282674388.0
google,1Big,ii,0,0x17,193943459.0
google,1Big,ii,1,0x08,3812804315.0
google,1Big,ii,1,0x19,1172656046.0
google,1Big,ii,1,0x1d,3676294960.0
google,1Big,ii,1,0x17,190786232.0
google,1Big,ii,2,0x08,3853529628.0
google,1Big,ii,2,0x19,1165782639.0
google,1Big,ii,2,0x1d,3589007474.0
google,1Big,ii,2,0x17,189298760.0
google,1Big,ii,3,0x08,3593727228.0
google,1Big,ii,3,0x19,1128902489.0
google,1Big,ii,3,0x1d,3285610722.0
google,1Big,ii,3,0x17,184618599.0
google,1Big,ii,4,0x08,4112632581.0
google,1Big,ii,4,0x19,1120921350.0
google,1Big,ii,4,0x1d,2803565180.0
google,1Big,ii,4,0x17,240526534.0
google,1Big,ii,5,0x08,2315268690.0
google,1Big,ii,5,0x19,387193338.0
google,1Big,ii,5,0x1d,1100687121.0
google,1Big,ii,5,0x17,71281723.0
google,1Big,ii,6,0x08,877971157.0
google,1Big,ii,6,0x19,398477542.0
google,1Big,ii,6,0x1d,337584139.0
google,1Big,ii,6,0x17,72001555.0
google,1Big,ii,7,0x08,3300855375.0
google,1Big,ii,7,0x19,417159226.0
google,1Big,ii,7,0x1d,1280678560.0
google,1Big,ii,7,0x17,69195723.0
msn,1Big,ii,0,0x08,2817054900.0
msn,1Big,ii,0,0x19,2746269096.0
msn,1Big,ii,0,0x1d,2117789329.0
msn,1Big,ii,0,0x17,440780554.0
msn,1Big,ii,1,0x08,1837861462.0
msn,1Big,ii,1,0x19,2750732209.0
msn,1Big,ii,1,0x1d,817323726.0
msn,1Big,ii,1,0x17,440600448.0
msn,1Big,ii,2,0x08,1681578329.0
msn,1Big,ii,2,0x19,2707606242.0
msn,1Big,ii,2,0x1d,293839468.0
msn,1Big,ii,2,0x17,434021787.0
msn,1Big,ii,3,0x08,1576590861.0
msn,1Big,ii,3,0x19,2789038315.0
msn,1Big,ii,3,0x1d,602457157.0
msn,1Big,ii,3,0x17,442544791.0
msn,1Big,ii,4,0x08,2325953077.0
msn,1Big,ii,4,0x19,3783457497.0
msn,1Big,ii,4,0x1d,4284714225.0
msn,1Big,ii,4,0x17,739316172.0
msn,1Big,ii,5,0x08,3316438484.0
msn,1Big,ii,5,0x19,1709923404.0
msn,1Big,ii,5,0x1d,1575615064.0
msn,1Big,ii,5,0x17,285860765.0
msn,1Big,ii,6,0x08,4143709962.0
msn,1Big,ii,6,0x19,1667742391.0
msn,1Big,ii,6,0x1d,2582656758.0
msn,1Big,ii,6,0x17,273656315.0
msn,1Big,ii,7,0x08,2058181112.0
msn,1Big,ii,7,0x19,1201714703.0
msn,1Big,ii,7,0x1d,1354452026.0
msn,1Big,ii,7,0x17,186376646.0
slashdot,1Big,ii,0,0x08,1286473276.0
slashdot,1Big,ii,0,0x19,1945382866.0
slashdot,1Big,ii,0,0x1d,3691754186.0
slashdot,1Big,ii,0,0x17,298029792.0
slashdot,1Big,ii,1,0x08,1266103814.0
slashdot,1Big,ii,1,0x19,1964494868.0
slashdot,1Big,ii,1,0x1d,3287246690.0
slashdot,1Big,ii,1,0x17,300714075.0
slashdot,1Big,ii,2,0x08,3306483592.0
slashdot,1Big,ii,2,0x19,1973978215.0
slashdot,1Big,ii,2,0x1d,404940279.0
slashdot,1Big,ii,2,0x17,299482717.0
slashdot,1Big,ii,3,0x08,1098904578.0
slashdot,1Big,ii,3,0x19,1959661495.0
slashdot,1Big,ii,3,0x1d,3039873409.0
slashdot,1Big,ii,3,0x17,298444120.0
